nct_id,brief_title,criterion_1_tgd,criterion_2_gaht,ai_triage,ai_triage_reason,confidence,human_decision_existing
NCT04478214,The Strategic Use of Hyaluronic Acid Fillers and Neurotoxin to Influence Gender Perception in Transgender Individuals,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT04478760,Trans & Non-binary Reference Intervals While on Hormone Therapy Study,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04482374,Puberty Suppression and Cardiometabolic Health,yes,no,human_review,"Explicit TGD population, but evaluates puberty suppression with GnRH agonists alone without explicit GAHT component; human review required.",medium,
NCT04482920,Effect of Hormone Therapy on Renal Function,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04491422,Same-Day PrEP Initiation and Sexual Health for Transgender Women,yes,unclear,human_review,"Explicit TGD population, but study evaluates behavioral/psychosocial intervention; human review required to confirm hormone role.",medium,
NCT04508231,Metabolic Consequences of Cross-sex Hormonal Treatment,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04511052,Probiotics for Enhanced Tissue Carotenoid Status in Premenopausal Women,no,no,obvious_exclude,No explicit TGD population; study evaluates contraceptive efficacy/safety in cisgender women.,high,
NCT04515472,Effect of Gender Affirming Hormone Therapy on Glucose Metabolism,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04524325,Mechanisms of Blood Pressure Dysfunction in Transmen Receiving Testosterone,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04531943,Feminizing Hormone Therapy and the Rectal Mucosa Immune Environment in Transgender Women,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04534881,Effect of Progesterone on Testosterone Concentrations and Breast Development in Transwomen,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04551144,"Effect of Transgender Therapy on Muscle, Fat and Tissue Receptors",yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04554849,Demographic Characteristics and Psychosocial Health of Transgender People,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT04568096,Combination of Chemopreventive Agents (All- Trans Retinoic Acid and Tamoxifen) as Potential Treatment for the Lung Complication of COVID-19,no,no,obvious_exclude,No explicit TGD population; study evaluates postmenopausal hormone therapy in cisgender women.,high,
NCT04573127,Gender Dysphoria: Epidemiological Data,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT04586348,Prenatal Iodine Supplementation and Early Childhood Neurodevelopment,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT04590417,Assessment of Drug-drug Interactions Between Feminizing Hormone Therapy and Emtricitabine/Tenofovir Alafenamide Concomitantly for Pre-exposure Prophylaxis Among Transgender Women,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04593680,Assessment of Drug-drug Interactions Between Masculinizing Hormone Therapy and Antiretroviral Agents Concomitantly for Pre-exposure Prophylaxis Among Transgender Men,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04596592,Pubertal Blockade and Estradiol Effects on Cardiometabolic Health for Transitioning Youth,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04600986,Repeated Doses of GnRH Agonist as Oocyte Triggering in Antagonist Protocol for Patients With Polycystic Ovary Syndrome,no,no,obvious_exclude,No explicit TGD population; study investigates polycystic ovary syndrome in cisgender women.,high,
NCT04608695,Ovarian Needle Puncture for Follicle Activation in IVF Patients With Diminished Ovarian Reserve,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT04616963,Emtricitabine/Tenofovir Alafenamide Switch Study for Transgender Individuals for HIV Pre-exposure Prophylaxis,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04708600,Effectiveness of Speech Therapy in Trans Women.,yes,unclear,human_review,"Explicit TGD population, but primary intervention is vocal/speech therapy; human review required to verify if GAHT is an analyzed variable.",medium,
NCT04733144,Bioequivalence Study of Prednisolone and Dexamethasone,no,no,obvious_exclude,No explicit TGD population; study evaluates postmenopausal hormone therapy in cisgender women.,high,
NCT04736797,Transition in Transgender,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04742491,Pre-Exposure Prophylaxis for Transgender Women in the US and South America,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04742816,Renal Effects of Hormones/Biomarkers in Transgender PrEP Recipients,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04760691,Pre-Exposure Prophylaxis (PrEP)- Gender Affirming Hormone Therapy (GAHT) Interactions in TGW,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04818580,Progressive Tension Sutures in Gender Affirming Mastectomy,yes,unclear,human_review,"Explicit TGD population, but primary intervention is surgical technique; human review required to verify if GAHT is an analyzed variable.",medium,
NCT04820088,Simulated Conversation Training for Mental Healthcare Providers to Improve Care for Transgender and Gender Nonconforming Individuals,yes,unclear,human_review,"Explicit TGD population, but study evaluates behavioral/psychosocial intervention; human review required to confirm hormone role.",medium,
NCT04838249,"Effects of Cross-sex Hormone Therapy on Eating Behavior, Metabolism, Energy Balance and Cardiovascular System",yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04864951,HPV Prevalence in Transpersons - a Prospective Study,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT04867798,Transgender Men and HIV in Uganda: PrEP Uptake and Persistence,yes,unclear,human_review,"Explicit TGD population, but study evaluates behavioral/psychosocial intervention; human review required to confirm hormone role.",medium,
NCT04869865,"The Effects of a Springtime Home Cleanse on Skin, Gut, Metabolic and Mental Health",no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT04899193,Pergoveris FD and Liquid China BE Study,no,no,obvious_exclude,No explicit TGD population; study evaluates contraceptive efficacy/safety in cisgender women.,high,
NCT04922424,Mechanisms and Interventions to Address Cardiovascular Risk of Gender-affirming Hormone Therapy in Trans Men,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04935164,Comparative Study of Gender Identity Disorder Versus Control,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT04944654,"Efficacy, Tolerability and Acceptability of Biktarvy by TPLWH",yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT04971447,Extracellular Vesicles and Endothelial Function in Transgender Subjects,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04977765,Cardiometabolic Health in Transgender Males,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT04979338,"Development of Effective, Opioid Sparing Techniques for Peri-operative Pain Management of Transgender Patients Undergoing Gender Affirming Surgeries",yes,unclear,human_review,"Explicit TGD population, but primary intervention is surgical technique; human review required to verify if GAHT is an analyzed variable.",medium,
NCT04993469,Patient Reported Outcome on Genital Sensitivity and Sexual Function After Genital Gender Affirming Surgery,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT05010707,Transgender Estradiol Affirming Therapy,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05016232,Adaptive Intervention to Facilitate PrEP Uptake/Adherence Among Transgender Women,yes,unclear,human_review,"Explicit TGD population, but study evaluates behavioral/psychosocial intervention; human review required to confirm hormone role.",medium,
NCT05016349,"Investigating the Potential Role of a Novel Quadrate Combination Therapy Mifepristone(Antiprogestrone), Tamoxifen, Retinoic Acid and Cannabidiol ( Selective Cyp 26 Inhibitor) for Treating Early Breast Cancer.",no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT05019417,Glycerol-Phenylbutyrate Treatment in Children With MCT Mutation (Allan-Herndon- Dudley Syndrome),no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT05097820,Prospective Observational Study on SEBBIN Silicone Gel-filled Testicular Implants,yes,unclear,human_review,"Explicit TGD population, but primary intervention is surgical technique; human review required to verify if GAHT is an analyzed variable.",medium,
NCT05116293,Effect of Testosterone Treatment on Drug Metabolism and Transport,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05126134,Psychological Vulnerabilities and Transgender Adolescents: A Descriptive Epidemiology Study,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT05130086,A Study of Islatravir (MK-8591) in Trans and Gender Diverse Participants (MK-8591-035),yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05153395,Impact of Intranasal Insulin on Sympathetic Activity and Cerebral Vasodilation,no,no,obvious_exclude,No explicit transgender or gender-diverse study population identified in registry record.,high,
NCT05166083,Investigation of the Perceptual and Acoustic Voice in Trans Man,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05166668,Letrozole /GnRH Antagonist Protocol in Women Over 40 Years Undergoing ICSI Cycle,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT05169762,Feminizing Treatment in Transgender Women and Non-binary Persons,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05175170,Fertility Decision-Making in Youth and Young Adults,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05195164,The Effects of Orchiectomy and Age on Vascular and Metabolic Health in Older Versus Younger Transgender Women,yes,unclear,human_review,"Explicit TGD population, but primary intervention is surgical technique; human review required to verify if GAHT is an analyzed variable.",medium,
NCT05204732,Acoustic and Perceptual Effects of Intonation Training in Gender Diverse People,yes,unclear,human_review,"Explicit TGD population, but primary intervention is vocal/speech therapy; human review required to verify if GAHT is an analyzed variable.",medium,
NCT05230979,"Evaluation of Common Bean Baked Snack Consumption on Subjective Satiety, Energy Intake and Glycemic Response in People With Overweight and Normal Weight",no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT05244694,Impact of Insulin on Sympathetic Nervous System-mediated Peripheral Vasoconstriction,no,no,obvious_exclude,No explicit transgender or gender-diverse study population identified in registry record.,high,
NCT05273112,Evaluation of the Variation in Quality of Life During Medical Transition for Transgender People.,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT05292820,Sexual Function of Trans Women After Vaginoplasty,yes,unclear,human_review,"Explicit TGD population, but primary intervention is surgical technique; human review required to verify if GAHT is an analyzed variable.",medium,
NCT05318755,China Gender-affirming Hormone Therapy Study,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05334888,Sex-differential Host-microbiome CVD Risk - A Longitudinal Cohort Approach,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05369247,Interval Versus Continuous Exercise During Pregnancy,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT05387577,Coagulation and Fibrinolysis of Estradiol in Transwomen,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05428215,Comparison of PKs of 17-Beta-Estradiol Via Sublingual Placement Versus Swallowing in Male-to-Female Transgender Patients,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05442463,Hormone Therapy and Angiotensin-Dependent Arterial and Renal Vasoconstriction in Humans,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05454579,The South-East Asian Transgender Health Cohort,yes,unclear,human_review,"Explicit TGD population, but study evaluates HIV/PrEP intervention; human review required to confirm if GAHT interactions are analyzed.",medium,
NCT05455398,Establishment of a Trans-round Window Inner Ear Continuous Drug Delivery System for the Treatment of Severe-to-profound Sudden Sensorineural Hearing Loss,no,no,obvious_exclude,No explicit transgender or gender-diverse study population identified in registry record.,high,
NCT05464186,Effects of Whole vs. Nonfat Milk Consumption on Body Composition in Children,no,no,obvious_exclude,No explicit transgender or gender-diverse study population identified in registry record.,high,
NCT05469204,Effect of Estrogen Treatment on Drug Metabolism and Transport,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05487794,Effect of Dose Fractionation of Testosterone Cypionate on Transgender Men with Erythrocytosis,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05489159,Sleep and IR in Transgender Adolescents,yes,yes,likely_include,Explicit transgender/nonbinary adolescent population; longitudinally evaluates effects of initiating masculinizing or feminizing GAHT.,high,
NCT05527353,AMH for the Identification of PCOM in PCOS Diagnosis,no,no,obvious_exclude,No explicit TGD population; study investigates polycystic ovary syndrome in cisgender women.,high,
NCT05529862,"Trans-RosaLEE Study: a Biomarker-directed, Translational Study",no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT05534763,Internet-delivered Treatment for Transgender Individuals With Co-occurring Mental Health Problems,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT05583058,Sex Hormone Overdose and Misuse in Chinese Transgender and Gender Non-conforming Population,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05587296,"A Study to Learn More About How Well Elinzanetant Works and How Safe it is Compared to Placebo for the Treatment of Hot Flashes Caused by Anti-cancer Therapy in Women With, or at High Risk for Developing Hormone-receptor Positive Breast Cancer",no,no,obvious_exclude,No explicit TGD population; study evaluates postmenopausal hormone therapy in cisgender women.,high,
NCT05587751,Evaluation of Gender-Affirming Treatments on Pulmonary Function in Transgender and Gender Diverse Patients,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05602805,BariaPSY: the Data Bank,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT05607303,Effect of Hormones on Frequency of Headache and Brain Structure and Function in Puberty,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05649605,Early Mental Response - The EMRE Study,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05649943,Multimodal Approach in Patients With mHSPC. Randomized Trial of APA+ADT vs APA-ADT and Local Treatment,no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT05663892,Drug-Drug Interaction Study in Trans Women Living With HIV,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05725967,Endoscopic Metabolic and Bariatric Therapies,no,no,obvious_exclude,No explicit transgender or gender-diverse study population identified in registry record.,high,
NCT05726903,Counseling Among Gender Diverse Adolescents Who Use Depot Medroxyprogesterone,yes,unclear,human_review,"Explicit TGD population, but evaluates depot medroxyprogesterone for contraception rather than GAHT; human review required to confirm exclusion.",medium,
NCT05787470,State of Hormones Impact Nociceptive Expression,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05808387,The Effects of Resveratrol on Sirtuins and Apoptosis Biomarkers,no,no,obvious_exclude,No explicit TGD population; study evaluates postmenopausal hormone therapy in cisgender women.,high,
NCT05829018,Elucidating the High Cardiovascular Disease Risk in South Asians,no,no,obvious_exclude,No explicit transgender or gender-diverse study population identified in registry record.,high,
NCT05829928,Testicular Tissue Cryopreservation in the Setting of Gender-Affirming Therapy,yes,unclear,human_review,"Explicit TGD population, but primary intervention is surgical technique; human review required to verify if GAHT is an analyzed variable.",medium,
NCT05853120,Doxy-Post-exposure Prophylaxis,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT05863676,Ovarian Tissue Cryopreservation in the Setting of Gender-affirming Therapy,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT05865262,Protocol TRANS and QT Repolarization,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05877235,Serum Concentration of Endogenous Estrogens and Sirtuin-1 After Administration of Atorvastatin and Quercetin:,no,no,obvious_exclude,No explicit TGD population; study evaluates postmenopausal hormone therapy in cisgender women.,high,
NCT05883553,Epithesis Versus Prosthesis in Post-phalloplasty Transgender Patients.,yes,unclear,human_review,"Explicit TGD population, but primary intervention is surgical technique; human review required to verify if GAHT is an analyzed variable.",medium,
NCT05884307,Trans Care: An Online Intervention to Reduce Symptoms of Gender Dysphoria,yes,unclear,human_review,"Explicit TGD population, but study evaluates behavioral/psychosocial intervention; human review required to confirm hormone role.",medium,
NCT05891795,Clascoterone for Steroid-related Acne Vulgaris in Transgender Male Patients Receiving Masculinizing Hormone Therapy,yes,yes,likely_include,Explicit transgender/gender-diverse population; investigates acne arising as an adverse effect of masculinizing hormone therapy.,high,
NCT05897086,Polyethylene-glycol Assisted Nerve Repair in Phalloplasty,yes,unclear,human_review,"Explicit TGD population, but primary intervention is surgical technique; human review required to verify if GAHT is an analyzed variable.",medium,
NCT05903911,Trans Care: An Online Intervention to Reduce Symptoms of Gender Dysphoria,yes,unclear,human_review,"Explicit TGD population, but study evaluates behavioral/psychosocial intervention; human review required to confirm hormone role.",medium,
NCT05925361,Peritoneum Vaginoplasty; Implementation According to IDEAL Framework,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT05934877,ASK-PrEP (Assistance Services Knowledge-PrEP),yes,unclear,human_review,"Explicit TGD population, but study evaluates behavioral/psychosocial intervention; human review required to confirm hormone role.",medium,
NCT06001307,"Supporting Trans Affirmation, Relationships, and Sex, Phase 3",yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT06005610,Estradiol Therapy In Transgender Women to Research Interactions With HIV Therapy,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06022562,Effects of Gender-affirming Hormone Therapy on Transgender People,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06070324,Effect of Suture Material on Postoperative Nipple Areolar Complex Widening,yes,unclear,human_review,"Explicit TGD population, but primary intervention is surgical technique; human review required to verify if GAHT is an analyzed variable.",medium,
NCT06074796,The Determinants of Fertility Preservation in TRANSgender Patients.,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT06083766,Metabolic and Physiologic Responses to Hormone Therapy in Transgender and Gender Diverse People,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06094257,Prospective Study of Sensation and Satisfaction in Cancer and Transgender Mastectomy Patients,yes,unclear,human_review,"Explicit TGD population, but primary intervention is surgical technique; human review required to verify if GAHT is an analyzed variable.",medium,
NCT06098781,Gynaecological Gender-affirming Surgeries,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT06116201,Influences of Long Term Hormone Therapy on Physical Fitness and Vascular Function in Transgender Women,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06149065,Factors Associated With the Acne Severity Among Transmen Population: a Cross-sectional Study,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06221163,Sociological Study of the Life Courses of Young TRANSgender Patients,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT06230770,Impact of Progestin-only Contraception on Bleeding Patterns in Individuals Initiating GATT,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06234488,Multi-Institutional Transgender & Gender-Diverse Breast Cancer Study,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06239766,BC Risk Assessment Before Top Surgery,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06245681,"Effects of Cross-sex Hormone Treatment on Cardiac Function, Myocardial and Hepatic Fat Content",yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06247267,The Effect of Sex Steroid Replacement Therapy in the Hypogonadism and Transgender Active-Duty Population,yes,yes,likely_include,Explicit transgender population; evaluates cardiovascular changes during transition with estradiol/spironolactone or testosterone GAHT.,high,
NCT06291675,"Gender-Affirming Hormone Therapy and Its Impact on Myocardial Mass and Cardiac Function, Heart, Liver and Pancreatic Fat Content",yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06298032,"A Study Investigating the Safety, Tolerability, Immunogenicity and Pharmacokinetics of Olamkicept in Healthy Persons",no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT06316102,Promoting Viral Suppression Among Transgender Women Living With HIV in Santo Domingo,yes,unclear,human_review,"Explicit TGD population, but study evaluates HIV/PrEP intervention; human review required to confirm if GAHT interactions are analyzed.",medium,
NCT06332742,Real-world Evaluation of Qingxin Zishen Decoction on Ovarian Reserve Function Clinical Efficacy in Patients With Decreased,no,no,obvious_exclude,No explicit TGD population; study evaluates contraceptive efficacy/safety in cisgender women.,high,
NCT06351501,Evaluation of the Effectiveness of Hormonal Treatment in Adolescents Suffering From Gender Dysphoria,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06357130,Gynaecological Care for Transgender People in France in 2024.,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06390332,Centering Gender Affirming Resources in Higher Education,yes,unclear,human_review,"Explicit TGD population, but study evaluates behavioral/psychosocial intervention; human review required to confirm hormone role.",medium,
NCT06391034,"Magnetic Resonance (MR) Imaging With Hyperpolarized 13C-Pyruvate +/- 13C,15N-Urea in Patients With Prostate Cancer",no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT06400199,Fertility Preservation for Transfeminine Adolescents Via Semen Cryopreservation or Testicular Sperm Extraction,yes,no,human_review,"Explicit TGD population, but evaluates puberty suppression with GnRH agonists alone without explicit GAHT component; human review required.",medium,
NCT06403059,Cervical Length and Uterocervical Angle as Predictors of Spontaneous Preterm Birth,no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT06405243,"Myoinositol, L-arginine and Chromium With Letrozole for Ovulation Induction in Polycystic Ovarian Syndrome Patients",no,no,obvious_exclude,No explicit TGD population; study investigates polycystic ovary syndrome in cisgender women.,high,
NCT06418347,Effect of ALA Combined With Letrozole on Polycystic Ovary Syndrome Clinical Outcome in Infertile Females,no,no,obvious_exclude,No explicit TGD population; study investigates polycystic ovary syndrome in cisgender women.,high,
NCT06428669,Effect of Nitropaste in Chest Masculinizing Surgery,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06436560,Support for Transgender and Non-Binary Individuals Seeking Vaginoplasty Study,yes,unclear,human_review,"Explicit TGD population, but primary intervention is surgical technique; human review required to verify if GAHT is an analyzed variable.",medium,
NCT06439290,"Voice Outcome of Glottoplasty, Cricothyroid Approximation, Thyroplasty, and Chondrolaryngoplasty",yes,unclear,human_review,"Explicit TGD population, but primary intervention is vocal/speech therapy; human review required to verify if GAHT is an analyzed variable.",medium,
NCT06443164,Efficacy of a Chronic Pain Treatment Prior to Gender-affirming Surgery,yes,unclear,human_review,"Explicit TGD population, but GAHT research role requires human adjudication to distinguish explicit exposure from background use.",medium,
NCT06450405,Androgen Effects on the Reproductive Neuroendocrine Axis,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06470906,Feasibility of an Oral Intervention for Sexual Health in Transgender Men,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06482385,Transmasculine Quality of Life and Sexual Function at Pre and Post Gender-affirming Hormonal Therapy,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06487754,New-onset Chronic Pelvic Pain in Transgender People Using Testosterone Therapy: an Exploratory Qualitative Study.,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
NCT06496581,Standard of Care +/- 177Lu-PSMA-617 In de Novo mHSPC Patients With Poor PSA Response (PEACE6-Poor Responders),no,no,obvious_exclude,No explicit TGD population; oncology/urologic study in prostate disease/cancer.,high,
NCT06502353,Plexaa For Preconditioning: Gender Affirming Mastectomy,yes,unclear,human_review,"Explicit TGD population, but primary intervention is surgical technique; human review required to verify if GAHT is an analyzed variable.",medium,
NCT06515834,"Investigating the Safety, Tolerability, Immunogenicity and Pharmacokinetics of Olamkicept in Healthy Japanese Persons",no,no,obvious_exclude,No explicit TGD population; reproductive or obstetric study in cisgender population.,high,
NCT06530992,The Effect of Tucking on Semen Quality of Adult Trans Women,yes,yes,likely_include,"Explicit transgender/gender-diverse population; GAHT is an explicit intervention, exposure, monitoring target, or primary variable.",high,
